"","adjsav_eduexp","ado_fert_rate","agedep_work","agedep_young","agrland","brate","fert_rate","c_gdp","grow_gdp","percap_gdp","percap_healthexp","healthexp_gdp","de_gdp","lifeexp_f","lifeexp_m","mortrate_un5f","mortrate_un5m","grow_pop","immu_dpt","immu_mea","hiv_fe15up","CO2emission","cluster","cluster_k3"
"LVA",5.57,15.38,48.21,20.98,29,8.6,1.17,15502642580,-0.34,12948.31,762.16,4.06,-2.32,78.4,68.8,8.5,10.2,-0.7,91,92,30.4,4.06,2,"3"
"LBN",1.59,12.18,47.4,34.94,62.56,12.82,1.51,29991683920,7,12288.83,574.28,1.68,0.13,81.49,77.12,9.6,10.6,2.19,81,80,29.4,4.22,2,"2"
"LBR",3.08,127.24,86.63,80.9,27.3,37.14,5.02,960255604.2,10.94,492.56,40.64,3.12,5.47,60.37,58.55,76.5,88.1,3.51,70,65,59,0.19,1,"1"
"LTU",5.39,13.94,44.37,21.99,44.23,10.8,1.55,27346902406,1.33,15534.51,782.02,5.14,2.03,78.8,68,6.1,7.4,-1.59,95,96,11,4.07,2,"3"
"MKD",4.9,19.89,41.01,24.58,44.37,10.94,1.45,7140170814,2.89,9104.28,299.5,4.08,2.72,77.05,72.51,9.1,10.6,0.08,95,98,27.519,4.25,2,"3"
"MDG",2.66,127.41,86.06,80.77,71.18,35.46,4.65,5804539998,0.53,849.12,15.08,2.08,9.34,64.85,61.92,58.6,67.2,2.81,85,73,46.5,0.09,1,"1"
"MYS",4.15,8.54,48.2,41.03,23.95,17.61,2,1.79e+11,7.43,13801.36,367.96,2.44,4.12,76.89,72.22,7.6,9.3,1.73,94,96,13.7,7.06,2,"2"
"MDV",5.04,6.89,53.81,46.1,23.33,22.24,2.34,1518834121,7.06,7338.73,408.85,3.79,0.44,77.86,75.76,11.6,14.4,1.87,96,97,29.6,2.62,2,"2"
"MLI",3.89,177.7,98.8,93.03,33.62,47.75,6.84,6971653981,5.82,1095.12,39.48,2.82,4.18,53.59,53.94,131.6,143.8,3.1,76,63,59.1,0.18,1,"1"
"MLT",5.62,18.41,43.09,22.36,32.19,9.6,1.38,6652772997,2.71,22696.8,1706.47,5.45,2.93,83.1,78.9,6.3,7.4,0.48,76,73,29.6,6.22,2,"3"
"MRT",3.83,76.98,77.61,72.03,38.53,35.21,4.84,2835163755,5.08,2110.19,58.91,4.03,21.37,62.57,59.55,80.6,97.2,2.62,64,67,58.5,0.59,1,"1"
"MUS",3.08,31.8,40.63,29.76,44.83,11.7,1.47,7826157632,4.11,12278.63,464.77,2.71,1.77,76.65,69.46,13.2,16.6,0.46,99,99,27.4,2.93,2,"2"
"MEX",5.16,65.77,56.32,46.96,52.98,19.54,2.28,9.57e+11,5.07,12412.48,603.36,3.1,4.11,79.16,74.34,15.4,18.8,1.25,95,95,22.6,4.11,2,"2"
"MDA",7.74,31.08,38.56,23.1,75.03,12.35,1.48,3501430332,7.09,2793.38,190.43,5.35,11.08,72.42,64.68,16.6,20.9,-0.1,90,97,33.6,2.9,2,"2"
"MNG",5.09,18.84,44.44,38.93,73.11,22.93,2.44,3453733410,6.37,3677.98,123.97,3.14,20.03,70.98,63,24.2,35.8,1.5,96,97,49.7,5.26,2,"2"
"MNE",5.2532,16.55,46.9,28.6,38.07,12.06,1.7,2803866144,2.5,10343.65,583.89,5.96,1.58,76.76,72.19,6.5,7.3,0.11,94,90,26.159,4.17,2,"3"
"MAR",5.2,34.55,49.57,42.07,67.19,21.83,2.58,75523499824,3.64,4268.03,166.4,2.07,0.65,71.95,68.47,29.9,36.9,1.16,99,98,38.4,1.66,2,"2"
"MOZ",4.02,147.67,94.47,88.18,62.82,40.67,5.41,9127794919,7.08,805.05,24.71,3.32,10.48,50.18,48.14,96.2,106.2,2.56,74,82,59,0.12,1,"1"
"MMR",0.84,13.72,45.27,37.87,19.17,17.9,2,398645269714.97,5.3662,4462.8582,17.33,0.24,11.8744,66.68,62.58,50.5,61.3,0.76,90,88,31.8,0.16,2,"2"
"M",7.97,62.71,69.86,64,47.14,27.08,3.23,8902636343,6.27,6092.03,269.43,3.21,1.55,65.39,59.71,41,49.3,1.64,83,75,57.9,1.4483,1,"1"
"NPL",4.2,82.12,72.5,64.01,29.71,23.11,2.62,10103288981,4.82,1204.53,27.55,1.89,15.15,68.22,66.04,42.9,48,1.13,82,86,31.6,0.17,2,"2"
"NLD",4.74,5.82,49.13,26.1,56.59,11.1,1.79,6.83e+11,1.53,36888.29,5683.06,10.27,0.82,82.7,78.8,3.9,4.8,0.51,97,96,15.3,10.3,2,"3"
"NZL",7.16,27.23,50.36,30.81,43.33,14.76,2.16,1.19e+11,0.24,25215.03,3266.82,8.39,4.7,82.7,78.8,5.3,6.6,1.2,93,91,22.6,7.16,2,"3"
"NIC",2.96,105.56,64.16,56.65,42.76,23.93,2.63,7290785418,3.62,3255.62,113.09,5.69,6.68,76.94,70.8,23,29,1.36,98,99,30.4,0.77,2,"2"
"NGA",0.85,121.33,87.8,82.67,83.67,41.93,6.02,1.59e+11,7.84,2170.06,67.12,1.71,26.75,51.59,51.01,126.4,138,2.75,54,56,57.5,0.57,1,"1"
"OMN",4.21,11.79,42.68,39.1,5.72,21.79,2.9,41930341498,5.59,24753.12,568.33,2.22,18.85,78.24,73.96,10.7,13.1,5.11,99,99,24.1,15.28,2,"3"
"PAK",1.56,28.73,66,58.83,34.25,26.64,3.43,1.3e+11,1.61,2324.34,28.04,0.79,10.85,66.99,65.3,86.2,93.7,1.78,86,82,27.3,0.78,2,"2"
"PAN",3.53,80.95,56.45,45.87,30.4,20.4,2.55,23122824847,7.45,12066.99,662.65,6.08,2.41,79.96,74.08,17.4,21.8,1.71,94,97,31,2.52,2,"2"
"PNG",3.6482,64.02,71.92,67.15,2.63,30.23,3.95,6553203636,8,2217.11,56.73,3.09,9.26,64.16,59.96,61.4,71.4,2.27,56,55,56.8,0.69,1,"1"
"PRY",3.71,69.1,63.16,54.72,52.83,24.29,2.97,11148152795,13.09,5312.81,271.61,3.29,6.1,74.25,69.91,21.1,26,1.75,89,94,42.1,0.81,2,"2"
"PER",2.27,52.33,56.22,46.86,16.77,20.55,2.51,1.12e+11,8.79,8502.61,258.16,2.74,4.28,76.67,71.27,18.1,22.1,1.13,93,94,31.4,1.57,2,"2"
"PHL",2.44,49.71,63.93,57.84,40.25,25.02,3.15,1.31e+11,7.63,3553.5,88.74,1.5,4.22,71.73,64.9,27.7,35.3,1.68,79,80,17.6,0.89,2,"2"
"POL",4.99,13.29,39.93,21,48.01,10.8,1.38,3.83e+11,4.07,17372.27,851.08,5,1.24,80.6,72.1,5.3,6.4,0.08,99,98,20.4,8.25,2,"3"
"PRT",5.72,14.26,49.62,22.67,40.2,9.5,1.36,1.97e+11,1.94,21779.65,2305.87,7.06,0.62,82.1,76.1,3.5,4.2,0.05,98,96,29.9,4.82,2,"3"
"ROM",3.36,30.93,42.55,21.4,61.53,9.9,1.33,1.12e+11,-1.65,10715.06,457.23,4.78,6.02,77.3,69.8,12,15,-0.2,94,95,30,4.6039,2,"3"
"RUS",3.54,27.15,38.93,20.73,13.05,12.5,1.54,9.09e+11,4.5,14181.58,670.36,3.8,14.19,74.9,63,10.3,13,0.34,97,98,35.3,11.08,2,"3"
"RWA",4.22,37.27,88.6,84.29,77.83,36.91,4.84,3818993880,7.22,1055.87,55.22,5.72,2.48,63.74,60.76,59.5,68,2.87,97,95,58.4,0.06,1,"1"
"STP",3.3558,69.62,82.47,75.87,50.52,36.23,4.29,144835069.6,4.51,1543.66,94.13,2.65,11.74,67.84,63.96,52.3,61.3,2.84,98,92,52.5,0.55,1,"1"
"SEN",5.22,95.88,87.72,81.91,49.37,38.56,5.05,10366034228,4.27,1677.62,59.58,3.28,1.54,64.3,61.46,61.7,71.7,2.85,89,82,65.9,0.55,1,"1"
"SRB",5,17.85,44.11,24.31,57.74,9.4,1.4,27879217077,1.01,9602.43,546.03,6.41,4.89,76.6,71.4,6.8,8.4,-0.4,91,95,22.7,6.4,2,"3"
